,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate
54,3415,64018.4,CA,Earthquake,EARTHQUAKES,2019-07-04T20:19:00.000Z
55,3416,296370.82999999967,LA,Coastal Storm,TROPICAL STORM BARRY,2019-07-10T00:00:00.000Z
56,3419,1202632.75,FL,Hurricane,HURRICANE DORIAN,2019-08-28T08:00:00.000Z
57,3421,41009.58999999994,SC,Hurricane,HURRICANE DORIAN,2019-08-31T08:00:00.000Z
58,3422,20169.87999999989,GA,Hurricane,HURRICANE DORIAN,2019-08-29T08:00:00.000Z
59,3423,186774.69,NC,Hurricane,HURRICANE DORIAN,2019-09-01T08:00:00.000Z
84,3527,10376.09,LA,Coastal Storm,TROPICAL STORM CRISTOBAL,2020-06-05T08:00:00.000Z
85,3529,443989.31000000006,HI,Hurricane,HURRICANE DOUGLAS,2020-07-23T16:27:00.000Z
86,3530,23168.72,TX,Hurricane,HURRICANE HANNA,2020-07-25T08:00:00.000Z
87,3535,1524483.0499999998,CT,Hurricane,TROPICAL STORM ISAIAS,2020-08-04T21:46:00.000Z
89,3538,14601.169999999955,LA,Hurricane,TROPICAL STORMS LAURA  AND MARCO,2020-08-22T00:00:00.000Z
90,3540,9709661.16,TX,Hurricane,TROPICAL STORMS MARCO AND LAURA,2020-08-23T08:00:00.000Z
91,3542,2262.640000000072,OR,Fire,WILDFIRES,2020-09-08T12:01:00.000Z
92,3543,591571.7700000001,LA,Hurricane,HURRICANE SALLY,2020-09-13T09:25:44.000Z
93,3545,0.0,AL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z
94,3546,0.0,FL,Hurricane,HURRICANE SALLY,2020-09-14T09:25:00.000Z
95,3547,8590.02999999933,LA,Hurricane,HURRICANE DELTA,2020-10-06T08:00:00.000Z
96,3549,280939.45,LA,Hurricane,TROPICAL STORM ZETA,2020-10-26T08:00:00.000Z
97,3550,2.1827872842550278e-11,MS,Hurricane,HURRICANE ZETA,2020-10-27T08:00:00.000Z
99,3554,0.0,TX,Severe Ice Storm,SEVERE WINTER STORM,2021-02-11T11:25:28.000Z
101,4052,94981.52,AL,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2012-01-22T00:00:00.000Z
102,4055,84833.77,OR,Flood,"SEVERE WINTER STORM,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2012-01-17T00:00:00.000Z
103,4056,41114.91,WA,Severe Storms,"SEVERE WINTER STORM,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2012-01-14T00:00:01.000Z
104,4057,46008.880000000005,KY,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND FLOODING",2012-02-29T10:53:11.000Z
105,4058,32235.82,IN,Severe Storms,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND TORNADOES",2012-02-29T15:02:00.000Z
106,4059,46025.16,WV,Severe Storms,"SEVERE STORMS,  TORNADOES,  FLOODING,  MUDSLIDES,  AND LANDSLIDES",2012-02-29T17:30:00.000Z
107,4060,3970.87,TN,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS AND",2012-02-29T10:53:11.000Z
108,4061,23517.72,WV,Severe Storms,"SEVERE STORMS,  FLOODING,  MUDSLIDES,  AND LANSLIDES",2012-03-15T11:30:57.000Z
109,4063,6603.17,KS,Severe Storms,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2012-04-14T15:19:53.000Z
110,4067,9274.849999999997,CO,Fire,HIGH PARK AND WALDO CANYON WILDFIRES,2012-06-09T18:30:00.000Z
111,4068,15134.03,FL,Severe Storms,TROPICAL STORM DEBBY,2012-06-23T21:29:00.000Z
112,4069,23185.739999999994,MN,Severe Storms,SEVERE STORMS AND FLOODING,2012-06-14T00:00:00.000Z
113,4071,98533.83,WV,Severe Storms,SEVERE STORMS AND STRAIGHT-LINE WINDS,2012-06-29T22:30:00.000Z
114,4072,11216.55,VA,Severe Storms,SEVERE STORMS AND STRAIGHT-LINE WINDS,2012-06-29T00:00:00.000Z
115,4076,7513.57,WI,Severe Storms,SEVERE STORMS AND FLOODING,2012-06-19T00:00:00.000Z
116,4077,227737.81999999998,OH,Severe Storms,SEVERE STORMS AND STRAIGHT-LINE WINDS,2012-06-29T22:00:00.000Z
117,4078,25036.25,OK,Fire,FREEDOM AND NOBLE WILDFIRES,2012-08-03T00:00:00.000Z
118,4080,7984956.089999997,LA,Hurricane,HURRICANE ISAAC,2012-08-26T00:00:00.000Z
119,4081,1179520.78,MS,Hurricane,HURRICANE ISAAC,2012-08-26T00:00:00.000Z
120,4084,2720.7999999999993,FL,Hurricane,HURRICANE ISAAC,2012-08-27T00:00:00.000Z
121,4085,380175318.5099999,NY,Hurricane,HURRICANE SANDY,2012-10-27T12:41:00.000Z
122,4086,76936959.80000001,NJ,Hurricane,HURRICANE SANDY,2012-10-26T12:41:54.000Z
123,4087,1286508.15,CT,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
124,4089,133425.91999999998,RI,Hurricane,HURRICANE SANDY,2012-10-26T15:36:00.000Z
125,4090,0.0,DE,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
126,4091,2189.7,MD,Hurricane,HURRICANE SANDY,2012-10-26T00:00:00.000Z
127,4092,252.3800000000001,VA,Hurricane,HURRICANE SANDY,2012-10-26T00:00:00.000Z
128,4093,2295821.51,WV,Hurricane,HURRICANE SANDY,2012-10-29T15:36:17.000Z
129,4094,1846.87,AK,Severe Storms,"SEVERE STORM,  STRAIGHT-LINE WINDS,  FLOODING,  AND LANDSLIDES",2012-09-15T16:00:00.000Z
130,4098,152115.1,OH,Hurricane,SEVERE STORMS AND FLOODING DUE TO THE REMNANTS OF HURRICANE SANDY,2012-10-29T00:00:00.000Z
131,4101,6740.0599999999995,MS,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-02-10T10:00:00.000Z
132,4102,53.34999999999991,LA,Severe Storms,SEVERE STORMS AND FLOODING,2013-01-08T00:00:00.000Z
133,4105,22788.670000000002,NH,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2013-02-08T00:00:00.000Z
134,4106,15267.199999999997,CT,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2013-02-08T00:00:00.000Z
135,4107,2349.6,RI,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2013-02-08T00:00:00.000Z
136,4113,387650.63000000006,MN,Severe Storms,SEVERE WINTER STORM,2013-04-09T00:00:00.000Z
137,4115,26177.280000000002,SD,Severe Storms,SEVERE WINTER STORM AND SNOWSTORM,2013-04-08T00:01:00.000Z
138,4116,180637.23000000004,IL,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2013-04-16T09:37:00.000Z
139,4117,1658323.3600000003,OK,Tornado,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-05-18T17:57:00.000Z
140,4119,105969.98,IA,Flood,"SEVERE STORMS,  STRAIGHT-LINE WINDS,  AND FLOODING",2013-04-17T07:00:00.000Z
141,4121,1170245.23,MI,Flood,FLOODING,2013-04-16T14:08:00.000Z
142,4122,3874515.9200000004,AK,Flood,FLOODING,2013-05-17T18:30:00.000Z
143,4123,0.0,ND,Flood,SEVERE STORMS AND FLOODING,2013-05-25T00:01:00.000Z
144,4124,7815.67,AR,Severe Storms,"SEVERE STORMS,  TORNADOES,  AND FLOODING",2013-05-30T00:00:00.000Z
